"......\wt[5] ......","......\wt[5] ......"
"Hello, \PN!\nI can see you calling me over there!","Hallo, \PN!\n Ich kann sehen, wie Sie mich dort dr├╝ben anrufen!"
"Come over and talk to me.","Komm vorbei und rede mit mir."
"Hello, this is Professor Oak...\nOh, hello, \PN!","Hallo, hier ist Professor Oak...\nOh, hallo, \PN!"
"So, how's your Pok├®dex coming along?","Wie weit ist dein Pok├®dex gediehen?"
"Hmm, let's see..\nYou've seen \v[1] Pok├®mon, and \nyou've caught \v[2] Pok├®mon!\nI see!","Hmm, mal sehen...\n Du hast \v[1] Pok├®mon gesehen, und \nein, du hast \v[2] Pok├®mon gefangen!\n Ich verstehe!"
"Hmm, you still have a long journey ahead of you! \nKeep on going!","Hmm, du hast noch eine lange Reise vor dir! \nKeep on going!"
"Hmm, you're catching Pok├®mon at a decent pace!","Hmm, du f├ñngst Pok├®mon in einem anst├ñndigen Tempo!"
"You've caught a lot of Pok├®mon, but make sure you're raising them carefully!","Du hast eine Menge Pok├®mon gefangen, aber du musst sie sorgf├ñltig aufziehen!"
"I didn't even know that many Pok├®mon existed!","Ich wusste gar nicht, dass es so viele Pok├®mon gibt!"
"Show me your Pok├®dex again anytime!","Zeig mir jederzeit wieder deinen Pok├®dex!"
"Show me your Pok├®dex anytime!","Zeig mir deinen Pok├®dex, wann immer du willst!"
"Click!\wt[10]\n......\wt[5] ......","Click!\wt[10]\n......\wt[5] ......"
"Don't let him get away!","Lasst ihn nicht entkommen!"
"Team Rocket's secret base has to be somewhere around here!","Die geheime Basis von Team Gesteinet muss irgendwo hier in der N├ñhe sein!"
"Elekid is looking somewhat confused.","Elekid sieht etwas verwirrt aus."
"Eevee is following enthusiastically!","Evoli folgt mit Begeisterung!"
"Eevee is walking with a ton of energy!","Evoli l├ñuft mit einer Menge Energie!"
"Eevee is following eagerly!","Evoli folgt eifrig!"
"Eevee is starting to look a bit tired.","Evoli sieht langsam ein bisschen m├╝de aus."
"Eevee looks like it's a bit tired. Better bring it back soon!","Evoli sieht aus, als sei es ein bisschen m├╝de. Bring es besser bald zur├╝ck!"
"Eevee is exhausted! Better head back now!","Evoli ist ersch├Âpft! Geh jetzt besser zur├╝ck!"
"Okay, here's your first card.","Okay, hier ist deine erste Karte."
"\b\PN gets the \V[28] of \V[31] (total : \V[29])","\b\PN erh├ñlt das \V[28] von \V[31] (insgesamt : \V[29])"
"\rGambler \V[6] gets the \V[28] of \V[31] (total : \V[32])","\rGambler \V[6] erh├ñlt das \V[28] von \V[31] (insgesamt : \V[32])"
"Gambler \V[6] stands.","Gl├╝cksspieler \V[6] steht."
"It's a tie! Nobody wins!","Es ist ein Unentschieden! Niemand gewinnt!"
"Gambler \V[6] wins!","Spieler \V[6] gewinnt!"
"You win!","Sie haben gewonnen!"
"Gambler \V[6] busts!","Spieler \V[6] ist pleite!"
"You bust!","Du bist pleite!"
"Continue?","Weiter?"
"Your total is \V[29]","Ihr Gesamtwert ist 29."
"Gambler \V[6] total is \V[32]","Zocker \V[6] insgesamt ist \V[32]"
"It's a tie...","Es ist ein Unentschieden..."
"Hello, you must be new here.","Hallo, Sie m├╝ssen neu hier sein."
"In many cities, you'll find hotels just like this one. ","In vielen St├ñdten finden Sie Hotels wie dieses."
"Local residents gather here when they seek the help of travelling Pok├®mon trainers such as yourself.","Die Anwohner kommen hier zusammen, wenn sie die Hilfe von reisenden Pok├®mon-Trainern wie dir suchen."
"People usually hand out great rewards to trainers who help them, so you don't want to miss out!","In der Regel erhalten Ausbilder, die ihnen helfen, tolle Belohnungen, die Sie sich nicht entgehen lassen sollten!"
"Use this journal to help you keep track of the quests you have accepted.","Benutze dieses Tagebuch, um den ├£berblick ├╝ber die von dir angenommenen Quests zu behalten."
"As for me, I'll also give you rewards for helping a certain number of people!","Was mich betrifft, so werde ich Ihnen auch Belohnungen geben, wenn Sie einer bestimmten Anzahl von Menschen helfen!"
"These are your current stats according to my intel.","Das sind nach meinen Informationen Ihre aktuellen Werte."
"How do I know all that? Heh, that's my secret!","Woher ich das alles wei├ƒ? Ha, das ist mein Geheimnis!"
"Sleep for:","Schlaf f├╝r:"
"\V[2] was caught in a \V[3]","\V[2] wurde in einem \V[3]"
"Which Pok├®Ball would you like to swap it for?","Gegen welchen Pok├®Ball w├╝rdest du ihn gerne tauschen?"
"You don't have any Pok├® Balls! You can purchase some with my colleague over here.","Du hast keine Pok├®b├ñlle! Du kannst welche bei meinem Kollegen hier kaufen."
"\V[2] is already in a \V[5]","\V[2] befindet sich bereits in einem \V[5]"
"\GSwap \V[2]'s \V[3] for a \V[5]","\GSwap \V[2]'s \V[3] for a \V[5]"
"\V[2]'s ball was swapped for a \V[5]!","Der Ball von \V[2] wurde gegen einen \V[5] ausgetauscht!"
"\GHere you go. Enjoy your new ball!","\So, jetzt geht's los. Viel Spa├ƒ mit deinem neuen Ball!"
"\G\PN paid $3000 in exchange.","\G\PN zahlte daf├╝r 3000 Dollar."
"Your changes won't take effect until you re-shuffle. Would you like to do it now?","Ihre ├änderungen werden erst wirksam, wenn Sie die Karten neu mischen. M├Âchten Sie es jetzt tun?"
"You can re-shuffle manually via the Update Man's menu.","Sie k├Ânnen ├╝ber das Men├╝ des Update Man manuell neu mischen."
"Use this in case you ever get stuck somewhere.","Verwenden Sie dies, falls Sie einmal irgendwo stecken bleiben."
"Which of these would you like?\ch[1,7, Randomizer settings,Reshuffle gyms,Reshuffle wild Pok├®mon, Reshuffle trainers,Set stats range, Reshuffle items & TMs,Cancel]","Welche davon w├╝rdest du gerne haben?""[1,7, Zufallsgenerator-Einstellungen, Gyms neu mischen, wilde Pok├®mon neu mischen, Trainer neu mischen, Statistikbereich festlegen, Items & TMs neu mischen, Abbrechen]"
"These are your current Randomizer settings:","Dies sind Ihre aktuellen Randomizer-Einstellungen:"
"\V[5]","\V[5]"
"Wild Pok├®mon stats range: \V[197] BST","Wertebereich der wilden Pok├®mon: \V[197] BST"
"Trainers stats range: \V[195] BST","Wertebereich des Trainers: \V[195] BST"
"Reshuffle gyms?","Turnhallen umgestalten?"
"The Gym types have been shuffled.","Die Turnhallentypen sind neu gemischt worden."
"Reset gym types?","Fitnessstudio-Typen zur├╝cksetzen?"
"The Gym types have been resetted","Die Turnhallentypen wurden zur├╝ckgesetzt"
"Trainers need to be randomized for this option.","Die Ausbilder m├╝ssen f├╝r diese Option randomisiert werden."
"Reshuffle Pok├®dex?","Pok├®dex neu mischen?"
